type_nuance;bloc;libelle_nuance;signification;commentaires
individuelle;EXG;EXG;Extrême gauche;"Candidats investis ou soutenus par des partis d'extrême-gauche notamment Lutte ouvrière; le nouveau Parti Anticapitaliste; Parti ouvrier indépendant etc."
individuelle;EXG;FI;La France insoumise;Candidats investis par La France insoumise
individuelle;GAU;COM;Parti communiste français;Candidats investis par le Parti communiste Français
individuelle;GAU;SOC;Parti socialiste;Candidats investis par le Parti socialiste
individuelle;GAU;GEN;Génération.s;Candidats investis par Génération.s
individuelle;GAU;PLP;Place Publique;Candidats investis par Place Publique
individuelle;GAU;RDG;Parti radical de gauche;Candidats investis par le Parti radical de gauche
individuelle;GAU;VEC;Les Écologistes;Candidats investis par Les Écologistes
individuelle;GAU;DVG;Divers gauche;Autres candidats de sensibilité de gauche y compris les candidats dissidents
individuelle;DIV;ECO;Ecologiste;Autres candidats de sensibilité écologiste
individuelle;DIV;REG;Régionalistes;Candidats régionalistes indépendantistes et autonomistes
individuelle;DIV;ANM;Animaliste;Candidats investis par le Parti animaliste et autre mouvance de la cause animale
individuelle;DIV;DIV;Divers;Candidats inclassables
individuelle;CENT;REN;Renaissance;Candidats investis par Renaissance
individuelle;CENT;MDM;Modem;Candidats investis par le Mouvement démocrate
individuelle;CENT;HOR;Horizons;Candidats investis par Horizons
individuelle;CENT;PR;Parti Radical;Candidats investis par le Parti Radical
individuelle;CENT;DVC;Divers centre;Autres candidats de sensibilité du centre y compris les candidats dissidents
individuelle;CENT;UDI;Union des Démocrates et Indépendants;Candidats investis par l'Union des démocrates et indépendants
individuelle;DTE;LR;Les Républicains;Candidats investis par Les Républicains
individuelle;DTE;DVD;Divers droite;Autres candidats de sensibilité de droite y compris les candidats dissidents
individuelle;DTE;DSV;Droite souverainiste;Candidats investis par un parti de sensibilité souverainiste (Debout la France etc.)
individuelle;EXD;UDR;Union des droites pour la République;Candidats investis par l'Union des droites pour la République
individuelle;EXD;RN;Rassemblement National;Candidats investis par le Rassemblement national
individuelle;EXD;REC;Reconquête;Candidats investis par Reconquête !
individuelle;EXD;EXD;Extrême droite;"Candidats investis ou soutenus par d'autres partis d'extrême-droite notamment Les Patriotes; Comités Jeanne; Mouvement National Républicain; Les identitaires; Ligue du Sud; Parti de la France; Souveraineté Identité et Libertés (SIEL); Front des patriotes républicains; etc."
liste;EXG;LEXG;Extrême gauche;Listes investies ou soutenues par des partis d'extrême-gauche notamment Lutte ouvrière le Nouveau Parti Anticapitaliste Parti ouvrier indépendant Listes soutenues sans être investies par un parti d'extrême gauche qui dispose d'une nuance de liste Autres listes de sensibilité d'extrême gauche dont listes dissidentes ou répondant aux autres configurations présentées au point n° 3 de la partie 3.2 de la présente circulaire
liste;EXG;LFI;La France insoumise;Listes investies par La France insoumise
liste;GAU;LCOM;Parti communiste français;Listes investies par le Parti communiste Français
liste;GAU;LSOC;Parti socialiste;Listes investies par le Parti socialiste
liste;GAU;LVEC;Les Écologistes;Listes investies par Les Écologistes
liste;GAU;LUG;Union de la gauche;Listes investies ou soutenues par des partis du bloc de gauche dont au moins deux des partis suivants Parti communiste Français Parti socialiste Les Écologistes
